=== PHASE 1 start: 750 candidats bruts ===
KEEP  62 310774518 GAY DECOLLETAGE (SAINT-PIERRE-EN-FAUC, tranche 12)
KEEP  63 389669417 ORNE DECOLLETAGE (FLERS, tranche 11)
KEEP  64 070201041 ANJOU DECOLLETAGE (MAUGES-SUR-LOIRE, tranche 12)
KEEP  65 300863370 DECOLLETAGE MOREL (CHAMPAGNOLE, tranche 12)
KEEP  66 442311387 DRAULT DECOLLETAGE (AYSE, tranche 11)
KEEP  67 419168448 GILLET DECOLLETAGE (DANNEMARIE-SUR-CRETE, tranche 11)
KEEP  68 348992488 DECOLLETAGE DU BERRY (SAINT-FLORENT-SUR-CH, tranche 11)
KEEP  69 331014993 DEFI - HOUILLIERES DE CRUEJOULS (CHATTE, tranche 12)
--- progress: 100 interroges, 69 retenus ---
KEEP  70 311666077 OUTILLAGE MECANIQUE DECOUPAGE (OMEDEC) (AMANCEY, tranche 12)
KEEP  71 402481667 ATHISIENNE MECANIQUE MOULE ET OUTILLAGE (ATHIS-VAL DE ROUVRE, tranche 12)
KEEP  72 423779776 REMO OUTILLAGE (CARRIERES-SUR-SEINE, tranche 11)
KEEP  73 338896426 OUTILLAGE PROGRESS (NAZELLES-NEGRON, tranche 12)
KEEP  74 419808985 NORMANDIE DECOUPAGE EMBOUTISSAGE (NDE) (CRULAI, tranche 12)
KEEP  75 976720284 DECOUPAGE ET EMBOUTISSAGE DU BOURBONNAIS (SDE (CUSSET, tranche 12)
KEEP  76 892541889 JELZA EMBOUTISSAGE (JELZA EMBOUTISSAGE) (SAINT-FLORENT-SUR-CH, tranche 12)
KEEP  77 418321824 D.E.M.C. DECOUPE, EMBOUTISSAGE, MONTAGE, CONC (AYTRE, tranche 11)
KEEP  78 484871272 SMG DECOUPAGE - EMBOUTISSAGE (SAINT-PAUL, tranche 11)
KEEP  79 345088371 TALBOT DECOUPAGE EMBOUTISSAGE (TDE) (MER, tranche 12)
KEEP  80 492142351 SUD OUEST EMBOUTISSAGE (USSAC, tranche 12)
KEEP  81 400567160 SOCIETE NORMANDE DE DECOUPAGE - EMBOUTISSAGE (LONDINIERES, tranche 12)
KEEP  82 351174081 SOCIETE AZERGUOISE DE REPOUSSAGE ET D EMBOUTI (GRANDRIS, tranche 11)
KEEP  83 316842012 UMA-DECOUPAGE EMBOUTISSAGE TOLERIE (NEUILLY-SAINT-FRONT, tranche 12)
--- progress: 125 interroges, 83 retenus ---
KEEP  84 401884382 SOCIETE D' APPLICATIONS MECANIQUES ET DE DECO (COLLEGIEN, tranche 12)
