=== PHASE 1 start: 750 candidats bruts ===
reprise: 450 deja interroges, 363 retenus
KEEP  56 329666572 CERO CONCEPT REALISA OUTILLAGE (CHALLANS, tranche 12)
KEEP  57 353167240 SOCIETE D'APPLICATIONS ET DE REALISATIONS D'O (SURGERES, tranche 12)
KEEP  58 318503885 ATELIERS MECANIQUE PRECISION OUTILLAGE (NEOAX (FLEURINES, tranche 12)
KEEP  59 450757638 OUTILLAGES PRESSE INDUSTRIE DE L'OUEST (OPI O (VIRE NORMANDIE, tranche 12)
KEEP  60 955511423 SOC MECANIQUE ET OUTILLAGE DE PRECISION (SMOP (CHAPONOST, tranche 12)
KEEP  61 517485777 OUTILLAGE PRECISION CARBURE ACIER SOCIETE NOU (FONDETTES, tranche 12)
KEEP  62 798995445 SORI (TULLINS, tranche 12)
KEEP  63 802531053 MOULE A MADELEINES (PARIS, tranche 11)
KEEP  64 381850338 MECA MOULE (ENTRELACS, tranche 11)
KEEP  65 497754770 FABRICATION DE MOULE DU CENTRE 18 (FMC 18) (MERY-SUR-CHER, tranche 11)
KEEP  66 334749215 ENTREPRISE VAL BETON MOULE DE L'EST (EVBME) (GANDRANGE, tranche 11)
KEEP  67 430121764 ATELIER TECHNIQUE D'EQUIPEMENTS MOULE ATTEM (LA FLECHE, tranche 11)
KEEP  68 300022795 MERY PALETTES (MESGRIGNY, tranche 11)
KEEP  69 390813822 SOC CARIBEENNE DE LUNETTERIE (SCL) (BAIE-MAHAULT, tranche 11)
KEEP  70 404990202 JASAWANT & JASAWANT (LE MOULE, tranche 11)
KEEP  71 752743757 FIARI & FRERES (PROFILAGE GRANDE TERRE) (LE MOULE, tranche 11)
--- progress: 525 interroges, 434 retenus ---
KEEP  72 479134157 LA CUISINE DE LA FAMILLE (LTF) (LE MOULE, tranche 11)
KEEP  73 804557650 SAYA (PROXI B) (LE MOULE, tranche 11)
KEEP  74 381421080 SAPAT METAL SARL (POINTE-A-PITRE, tranche 11)
KEEP  75 842147019 SECB STRUCTURE (SECB) (LE MOULE, tranche 11)
KEEP  76 888468493 AU NID DES PAINS (AU NID DES PAINS) (LE MOULE, tranche 11)
KEEP  77 448577791 LES NOUVELLES DU PAIN (LE MOULE, tranche 11)
KEEP  78 904930674 M MES SAVEURS (LE MOULE, tranche 11)
KEEP  79 413894684 ENGELVIN BOIS MOULE (MENDE, tranche 12)
KEEP  80 354094914 DUTHEL MAINTENANCE MOULE (DMM) (GROISSIAT, tranche 12)
KEEP  81 423857036 MOULE DESIGN PROTOTYPE (MDP) (DAMPIERRE, tranche 12)
KEEP  82 303120992 PPG GUADELOUPE (LES ABYMES, tranche 12)
KEEP  83 401139456 NUANCE (DOMARIN, tranche 12)
KEEP  84 333121309 JASAWANT WDL (LE MOULE, tranche 12)
KEEP  85 418392387 GROUPE WDL (LE MOULE, tranche 12)
KEEP  86 492226691 GESTAG (LE MOULE, tranche 12)
KEEP  87 477856561 RAPID DISTRIBUTION (MORNE A L'EAU, tranche 12)
KEEP  88 498235316 RHUM DAMOISEAU (LE MOULE, tranche 12)
KEEP  89 752732495 J.A.S. DECOUPE (J.A.S. DECOUPE) (SEVREMOINE, tranche 11)
KEEP  90 499214195 SUD DECOUPE INDUSTRIE (ONET-LE-CHATEAU, tranche 11)
KEEP  91 353796436 ADEMS DECOUP OXY (CHAPONNAY, tranche 11)
KEEP  92 489901785 MB DECOUPE (NEUVILLE-AU-CORNET, tranche 11)
KEEP  93 445055478 PRO-DECOUPE (BAUD, tranche 11)
KEEP  94 511893414 DECOUPE H2O (DECOUPE H2O) (DH2O) (BROGNARD, tranche 11)
KEEP  95 439237017 ARMA DECOUP (CHAMPTOCE-SUR-LOIRE, tranche 11)
--- progress: 550 interroges, 458 retenus ---
KEEP  96 820764538 DECOUPE LASER (CARROS, tranche 11)
KEEP  97 450797626 ALSACE DECOUPE (SCHWEIGHOUSE-SUR-MOD, tranche 11)
KEEP  98 605520493 SA DECO DECOUP (CLUSES, tranche 11)
KEEP  99 450545900 AAZ DECOUPE (RIS-ORANGIS, tranche 11)
KEEP 100 789650306 HP DECOUPE (LA HAGUE, tranche 11)
KEEP 101 818280414 DECOUPE LASER PLIAGE DE L'OUEST (SAINT-NAZAIRE, tranche 11)
